"filename", "language", "JSON", "Markdown", "Python", "JavaScript", "toml", "pip requirements", "HTML", "CSS", "SCSS", "MS SQL", "JSON with Comments", "comment", "blank", "total"
"c:\Users\jonsa\Documents\CodingProjects\Converge\DB_Data_Statements.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\jonsa\Documents\CodingProjects\Converge\Pipfile", "toml", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\jonsa\Documents\CodingProjects\Converge\Pipfile.lock", "JSON", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195
"c:\Users\jonsa\Documents\CodingProjects\Converge\README.md", "Markdown", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 143
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\models\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\schema\post_forward_constraints.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 4, 17
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed\misc_practice_data_seed.py", "Python", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 264
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed\practice_seed.py", "Python", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 19, 55, 265
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed\routine_template_seed.py", "Python", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 152
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed\survey_seed.py", "Python", 0, 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 196, 142, 762
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed\time_interval_seed.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 24
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\generic_survey_answer_data.py", "Python", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 37, 2, 268
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\goal_blueprint_data.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\habit_anchors_data.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\interests_data.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\practice_attribute_data.py", "Python", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 148
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\practice_data.py", "Python", 0, 0, 5285, 0, 0, 0, 0, 0, 0, 0, 0, 46, 61, 5392
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\routine_template_data.py", "Python", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 162
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\strategies_data.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\subcategory_data.py", "Python", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 295
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\survey_branching_data.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 33, 6, 51
"c:\Users\jonsa\Documents\CodingProjects\Converge\database\seed_data\survey_question_data.py", "Python", 0, 0, 2069, 0, 0, 0, 0, 0, 0, 0, 0, 142, 17, 2228
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\config\YouLeveled.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\config\mysqlconnection.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 46, 18, 129
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\controllers\categories.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\controllers\dashboards.py", "Python", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 117
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\controllers\flex_tasks.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 52
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\controllers\goals.py", "Python", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 98
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\controllers\practices.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 43
